Symbol,Name,2-May,Volume - May 2,24-Apr,Volume - April 24
EGAD,Eaagads Ltd,12.75,600,12.45,900
KUKZ,Kakuzi Plc,411,100,440,0
KAPC,Kapchorua Tea Kenya Plc,209.5,200,215,0
LIMT,Limuru Tea Plc,320,0,320,0
SASN,Sasini Plc,15.4,2500,15.45,3300
WTK,Williamson Tea Kenya Plc,210.25,400,216.25,2000
CGEN,Car and General (K) Ltd,19.8,0,19.8,100
ABSA,ABSA Bank Kenya Plc,17.2,112400,18,40400
BKG,BK Group Plc,31.5,406400,31.75,194800
COOP,Co-operative Bank of Kenya Ltd,14.4,321200,16,556900
DTK,Diamond Trust Bank Kenya Ltd,72.75,1300,74.5,3700
EQTY,Equity Group Holdings Plc,46.05,387200,45.65,393800
HFCK,HF Group Ltd,6.2,16000,6.2,195700
IMH,I & M Holdings Plc,30.3,11200,29.55,71200
KCB,KCB Group Plc,38.55,132400,38.5,555200
NCBA,NCBA Group Plc,49.45,8200,54.25,3100
SBIC,Stanbic Holdings Plc,174.5,3200,178,9900
SCBK,Standard Chartered Bank Kenya Ltd,270,40700,300,37500
DCON,Deacons (East Africa) Plc,0.45,0,0.45,0
EVRD,Eveready East Africa Ltd,0.98,80400,1.06,139600
XPRS,Express Kenya Plc,3,500,3,500
HBE,Homeboyz Entertainment Plc,4.66,0,4.66,0
KQ,Kenya Airways Plc,4.16,51400,4.22,285800
LKL,Longhorn Publishers Plc,2.66,1600,2.95,1000
NBV,Nairobi Business Ventures Ltd,2,6300,1.9,600
NMG,Nation Media Group Plc,11.75,1600,12.96,8700
SMER,Sameer Africa Plc,3.1,8100,3.09,1000
SGL,Standard Group Plc,6.26,700,6.12,3300
TPSE,TPS Eastern Africa (Serena) Ltd,14,700,15,2300
UCHM,Uchumi Supermarket Plc,0.32,233800,0.35,42600
SCAN,WPP ScanGroup Plc,2.86,17000,2.94,17700
ARM,ARM Cement Plc,5.55,0,5.55,0
BAMB,Bamburi Cement Ltd,47.2,0,56.5,0
CRWN,Crown Paints Kenya Plc,36.9,1100,34.9,100
CABL,East African Cables Plc,2.02,12200,1.96,21300
PORT,East African Portland Cement Ltd,38.95,200,38.95,0
KEGN,Kenya Electricity Generating Company Plc,4.9,1470000,4.79,190200
KPLC-P4,KPLC-P4,4,0,6,0
KPLC-P7,KPLC-P7,6,0,4,0
KPLC,Kenya Power and Lighting Company Plc,6.28,647100,6.22,1153300
TOTL,TotalEnergies Marketing Kenya Plc,22.85,2300,22.05,3100
UMME,Umeme Ltd,15.65,0,16,0
BRIT,Britam Holdings Plc,6.56,47500,6.66,23500
CIC,CIC Insurance Group Ltd,2.94,57800,2.97,33100
JUB,Jubilee Holdings Ltd,200,0,191,200
KNRE,Kenya Re-Insurance Corporation Ltd,1.62,2740000,1.58,586500
LBTY,Liberty Kenya Holdings Ltd,11.4,1300,11.65,15000
SLAM,Sanlam Kenya Plc,7.38,700,8.72,9300
CTUM,Centum Investment Company Plc,11.3,12500,11.85,2100
HAFR,Home Afrika Ltd,0.75,797000,0.74,47300
KURV,Kurwitu Ventures Ltd,1500,0,1500,0
OCH,Olympia Capital Holdings Ltd,3.7,3700,3.25,1200
TCL,Trans-Century Plc,1.26,52700,1.32,35500
NSE,Nairobi Securities Exchange Plc,7.14,18400,7.12,108700
AMAC,Armco Group Kenya Ltd,51,0,51,0
BOC,BOC Kenya Plc,80,0,88,600
BAT,British American Tobacco Kenya Plc,372.5,4800,371,1000
CARB,Carbacid Investments Plc,19.35,4000,19.55,7000
EABL,East African Breweries Ltd,171.75,4100,174.25,5000
FTGH,Flame Tree Group Holdings Ltd,1.16,4400,1.18,5700
MSC,Mumias Sugar Company Ltd,0.27,0,0.27,0
UNGA,Unga Group Ltd,22.4,500,22,300
SCOM,Safaricom Plc,18,988100,17.35,4813100
